Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
Pigsaw,PC,31/08/2020,NA,Christopher Yabsley,Christopher Yabsley,,Survival Horror,,,,,Pigsaw,,,Pigsaw,,,,,,,,
Captain Tsubasa: Rise of New Champions,Nintendo Switch,28/08/2020,NA,Bandai Namco Entertainment,Tamsoft,Captain Tsubasa,Sports,,,,Captain Tsubasa: Rise of New Champions,Captain Tsubasa: Rise of New Champions,,,Captain Tsubasa: Rise of New Champions,,,Captain Tsubasa: Rise of New Champions,,,,,
Final Fantasy Crystal Chronicles: Remastered Edition,Nintendo Switch,28/08/2020,NA,Square Enix,The Game Designers Studio,Final Fantasy Crystal Chronicles,Action RPG,,,,Final Fantasy Crystal Chronicles: Remastered Edition,,,,Final Fantasy Crystal Chronicles: Remastered Edition,,,,,,,,
Nexomon: Extinction,Nintendo Switch,28/08/2020,NA,PQube,VEWO Interactive,Nexomon,Turn-Based RPG,,,,Nexomon: Extinction,Nexomon: Extinction,,,Nexomon: Extinction,,,Nexomon: Extinction,,,,,
Shing!,PC,28/08/2020,NA,Mass Creation,Mass Creation,,Beat 'em Up,,,,Shing!,Shing!,,,,,,,,Shing!,,,
Windbound,PC,28/08/2020,NA,Deep Silver,5 Lives Studios,,Survival,,,,Windbound,Windbound,,,Windbound,,,,,,,,
Wasteland 3,Xbox One,28/08/2020,NA,Deep Silver,inXile Entertainment,Wasteland,Computer RPG,,,,Wasteland 3,Wasteland 3,,,Wasteland 3,,,Wasteland 3,,Wasteland 3,,,
Moon: Remix RPG Adventure,Nintendo Switch,27/08/2020,NA,Onion Games,Onion Games,,Turn-Based RPG,,,,moon: Remix RPG Adventure,Moon: Remix RPG Adventure,,,Moon: Remix RPG Adventure,,,,,,,,
Witcheye,PC,27/08/2020,NA,Devolver Digital,Moon Kid,,Side-Scrolling Platformer,,,,,Witcheye,,,Witcheye,,,,,,,,
Giraffe and Annika,Nintendo Switch,25/08/2020,NA,NIS America,Atelier Mimina,,Rhythm,,,,Giraffe and Annika,Giraffe and Annika,,,Giraffe and Annika,,,Giraffe and Annika [Musical Mayhem Edition],,,,,
No Straight Roads,PC,25/08/2020,NA,Sold Out,Metronomik,,Action Adventure,,,,No Straight Roads,No Straight Roads,,,No Straight Roads,,,,,No Straight Roads,,,
Samurai Jack: Battle Through Time,Nintendo Switch,21/08/2020,NA,Adult Swim Games,Soleil,Samurai Jack,Hack-and-Slash,,,,Samurai Jack: Battle Through Time,Samurai Jack: Battle Through Time,,,Samurai Jack: Battle Through Time,,,Samurai Jack: Battle Through Time,,,,,
Inmost,PC,21/08/2020,NA,Chucklefish,Hidden Layer Games,,Side-Scrolling Platformer,,,,Inmost,Inmost,,,INMOST,,,,,,,,
New Super Lucky's Tale,PC,21/08/2020,NA,Playful Corp.,Playful Corp.,Lucky's Tale,3D Platformer,,,,,New Super Lucky's Tale,,,New Super Lucky's Tale,,,,,,,,
Kwaidan ～Azuma manor story～,Nintendo Switch,20/08/2020,NA,RAINYFROG,求道庵（gudouan）,,Action Adventure,,,,,,,,,,,,,,,,
Shakedown: Hawaii,Nintendo Wii U,20/08/2020,NA,Vblank Entertainment,Vblank Entertainment,,Action Adventure,,,,,Shakedown: Hawaii,,,,,,Shakedown: Hawaii,,,,,
Peaky Blinders: Mastermind,PC,20/08/2020,NA,Curve Digital,FuturLab,Peaky Blinders,Turn-Based Tactics,,,,Peaky Blinders: Mastermind,Peaky Blinders: Mastermind,,,Peaky Blinders: Mastermind,,,,,,,,
Shakedown: Hawaii,PlayStation 3,20/08/2020,NA,Vblank Entertainment,Vblank Entertainment,,Action Adventure,,,,,Shakedown: Hawaii,,,,,,,,,,,
Death end re;Quest 2,PC,18/08/2020,NA,Idea Factory International,Compile Heart,Death end re;Quest,Turn-Based RPG,,,,,Death end re;Quest 2,,,Death end re;Quest 2,,,,,,,,
Spiritfarer,PC,18/08/2020,NA,Thunder Lotus Games,Thunder Lotus Games,,Simulation,,,,Spiritfarer,Spiritfarer,,,,,,,,Spiritfarer,,,
Kandagawa Jet Girls,PlayStation 4,18/08/2020,NA,Xseed Games,Honey Parade Games,,Racing,,,,Kandagawa Jet Girls,Kandagawa Jet Girls,,,Kandagawa Jet Girls,,,Kandagawa Jet Girls,,,,,
Zodiac XX,PC,15/08/2020,NA,Humble Publishing,Virtuoso Neomedia,,Flight Simulation,,,,,,,,,,,,,,,,
Sword Art Online: Alicization Lycoris,PlayStation 4,14/08/2020,NA,Bandai Namco Entertainment,Aquria,Sword Art Online,Action RPG,,,,Sword Art Online: Alicization Lycoris,Sword Art Online: Alicization Lycoris,,,Sword Art Online: Alicization Lycoris,,,Sword Art Online: Alicization Lycoris,,,,,
Collar × Malice -Unlimited-,Nintendo Switch,13/08/2020,NA,Aksys Games,Idea Factory,Collar × Malice,Visual Novel,,,,,,,,,,,Collar X Malice -Unlimited-,,,,,
Yo-kai Watch Jam: Yo-kai Academy Y – Waiwai Gakuen Seikatsu,Nintendo Switch,13/08/2020,JP,Level-5,Level-5,Yo-kai Watch,Action RPG,,,,,,,,,,,,,,,,
Double Kick Heroes,PC,13/08/2020,NA,Headbang Club,Headbang Club,,Rhythm,,,,Double Kick Heroes,Double Kick Heroes,,,Double Kick Heroes,,,,,,,,
The Ambassador: Fractured Timelines,PC,13/08/2020,NA,The Quantum Astrophysics Guild,tinyDino Games,,Twin-Stick Shooter,,,,,The Ambassador: Fractured Timelines,,,The Ambassador: Fractured Timelines,,,,,,,,
Total War Saga: Troy,PC,13/08/2020,NA,Sega,Creative Assembly,Total War,Real-Time Tactics,,,,A Total War Saga: TROY,A Total War Saga: Troy,,,Total War Saga: TROY,,,,,A Total War Saga: TROY,,,
Metamorphosis,PC,12/08/2020,NA,All in! Games,Ovid Works,,Adventure,,,,Metamorphosis (2020),Metamorphosis,,,Metamorphosis,,,,,,,,
Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Myth Infinite Combate,Nintendo Switch,11/08/2020,NA,PQube,MAGES. Inc.,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Dungeon Crawler,,,,,,,,,,,Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Myth Infinite Combate,,,,,
Risk of Rain 2,Nintendo Switch,11/08/2020,NA,Gearbox Publishing,Hopoo Games,Risk of Rain,Roguelike,,,,,Risk of Rain 2,,,,,,Risk of Rain 2,,Risk of Rain 2,,,
Atooi Collection,Nintendo 3DS,07/08/2020,NA,Limited Run Games,Atooi,,Compilation,,,,,,,,,,,,,,,,
Canon: The Legend of the New Gods,PC,07/08/2020,NA,Piko Interactive,Super Fighter Team,,Turn-Based RPG,,,,,,,,,,,,,,,,
Down the Oubliette,Playdate,07/08/2020,NA,RDK,RDK,,Dungeon Crawler,,,,,Down the Oubliette,,,,,,,,,,,
Fast & Furious: Crossroads,PlayStation 4,07/08/2020,NA,Bandai Namco Entertainment,Slightly Mad Studios,Fast & Furious,Racing,,,,Fast & Furious Crossroads,Fast & Furious: Crossroads,,,Fast & Furious: Crossroads,,,Fast and Furious: Crossroads,,,,,
Post Void,PC,06/08/2020,NA,YCJY Games,YCJY Games,,First-Person Shooter,,,,POST VOID,Post Void,,,Post Void,,,,,,,,
Swimsanity!,PC,06/08/2020,NA,Decoy Games,Decoy Games,,Shooter,,,,,Swimsanity!,,,Swimsanity!,,,,,Swimsanity!,,,
There Is No Game: Wrong Dimension,PC,06/08/2020,NA,Draw Me A Pixel,Draw Me A Pixel,,Adventure,,,,There is no game : Wrong dimension,There Is No Game: Wrong Dimension,,,There Is No Game: Wrong Dimension,,,,,,,,
The Citadel,PC,05/08/2020,NA,Top Hot Studios,doekuramori,,First-Person Shooter,,,,,The Citadel,,,The Citadel,,,,,,,,
Hellbound,PC,04/08/2020,NA,Nimble Giant Entertainment,Saibot Studio,,First-Person Shooter,,,,Hellbound,Hellbound,,,Hellbound,,,,,,,,
Littlewood,PC,04/08/2020,NA,SmashGames,Sean Young,,Simulation,,,,,Littlewood,,,Littlewood,,,,,,,,
Skully,PC,04/08/2020,NA,Modus Games,Finish Line Games,,3D Platformer,,,,Skully,Skully,,,Skully,,,,,,,,
The Battle of Polytopia,PC,04/08/2020,NA,Midjiwan,Midjiwan,,Turn-Based Strategy,,,,The Battle of Polytopia,,,,The Battle of Polytopia,,,,,,,,
Relicta,PC,03/08/2020,NA,Ravenscourt,Mighty Polygon,,First-Person Puzzle,,,,Relicta,Relicta,,,Relicta,,,,,,,,
Frog Fractions: Game of the Decade Edition: Hop's Iconic Cap,PC,02/08/2020,NA,Twinbeard,Twinbeard,Frog Fractions,Adventure,,,,,,,,,,,,,,,,
Vectorblade,Vectrex,01/08/2020,NA,Packrat Video Games,Malban,,Scrolling Shooter,,,,,,,,,,,,,,,,
Fae Tactics,PC,31/07/2020,NA,Humble Games,Endlessfluff Games,,Strategy RPG,,,,Fae Tactics,Fae Tactics,,,Fae Tactics,,,,,,,,
Karnage Chronicles,PC,31/07/2020,NA,Nordic Trolls,Nordic Trolls,,Hack-and-Slash,,,,,Karnage Chronicles,,,Karnage Chronicles,,,,,Karnage Chronicles,,,
Liberated,PC,30/07/2020,NA,Walkabout,Atomic Wolf,,Action Adventure,,,,,Liberated,,,Liberated,,,,,,,,
Muv-Luv photonmelodies♮,PC,29/07/2020,NA,aNCHOR,aNCHOR,Muv-Luv,Visual Novel,,,,,,,,,,,,,,,,
Ageless,PC,28/07/2020,NA,Team17,One More Dream Studios,,Action Platformer,,,,Ageless,Ageless,,,Ageless,,,,,,,,
Destroy All Humans!,PC,28/07/2020,NA,THQ Nordic,Black Forest Games,Destroy All Humans!,Action Adventure,,,,Destroy All Humans!,Destroy All Humans!,,,Destroy All Humans!,,,,,,,,
Maid of Sker,PC,28/07/2020,NA,Wales Interactive,Wales Interactive,,Survival Horror,,,,Maid of Sker,Maid of Sker,,,Maid of Sker,,,,,,,,
Othercide,PC,27/07/2020,NA,Focus Entertainment,Lightbulb Crew,,Turn-Based Tactics,,,,Othercide,Othercide,,,Othercide,,,,,,,,
TEOCALLI,PC,24/07/2020,NA,coldrice,coldrice,,Roguelike,,,,,,,,,,,,,,,,
Röki,PC,23/07/2020,NA,United Label,Polygon Treehouse,,Adventure,,,,,Röki,,,,,,,,,,,
Panzer Paladin,PC,21/07/2020,NA,Tribute Games,Tribute Games,,Action Platformer,,,,Panzer Paladin,Panzer Paladin,,,Panzer Paladin,,,,,,,,
Rock of Ages III: Make & Break,PC,21/07/2020,NA,Modus Games,ACE Team,Rock of Ages,Tower Defense,,,,Rock of Ages 3: Make & Break,Rock of Ages III: Make & Break,,,,,,,,,,,
Before I Forget,PC,16/07/2020,NA,3-Fold Games,3-Fold Games,,Adventure,,,,,Before I Forget,,,Before I Forget,,,,,,,,
SUPERHOT: MIND CONTROL DELETE,PC,16/07/2020,NA,SUPERHOT Team,SUPERHOT Team,SUPERHOT,First-Person Shooter,,,,SUPERHOT: MIND CONTROL DELETE,Superhot: Mind Control Delete,,,SUPERHOT: MIND CONTROL DELETE,,,,,,,,
Story of Seasons: Friends of Mineral Town,Nintendo Switch,14/07/2020,NA,Xseed Games,Marvelous,Story of Seasons,Simulation,,,,Story of Seasons: Friends of Mineral Town,Story of Seasons: Friends of Mineral Town,,,Story of Seasons: Friends of Mineral Town,,,Story of Seasons: Friends of Mineral Town,,,,,
void tRrLM(); //Void Terrarium,Nintendo Switch,14/07/2020,NA,NIS America,Nippon Ichi Software,Void Terrarium,Dungeon Crawler,,,,void tRrLM(); //Void Terrarium,void tRrLM(); //Void Terrarium,,,void tRrLM(); //Void Terrarium,,,,,,,,
Neon Abyss,PC,14/07/2020,NA,Team17,Veewo Games,,Roguelike,,,,Neon Abyss,Neon Abyss,,,Neon Abyss,,,,,,,,
Neon Abyss,PC,14/07/2020,NA,Team17,Veewo Games,Neon Abyss,Roguelike,,,,Neon Abyss,,,,Neon Abyss,,,,,,,,
Deadly Premonition 2: A Blessing in Disguise,Nintendo Switch,10/07/2020,NA,Rising Star Games,Toybox Games,Deadly Premonition,Survival Horror,,,,Deadly Premonition 2: A Blessing in Disguise,,,,Deadly Premonition 2: A Blessing in Disguise,,,Deadly Premonition 2: A Blessing in Disguise,,,,,
Dweller's Empty Path,PC,10/07/2020,NA,Temmie Chang,Temmie Chang,Escaped Chasm,Adventure,,,,,Dweller's Empty Path,,,Dweller's Empty Path,,,,,,,,
Retro City Rampage DX,Nintendo Wii,09/07/2020,EU,Vblank Entertainment,Vblank Entertainment,Retro City Rampage,Action Adventure,,,,,,,,,,,Retro City Rampage DX,,,,,
Shakedown: Hawaii,Nintendo Wii,09/07/2020,EU,Vblank Entertainment,Vblank Entertainment,,Action Adventure,,,,,Shakedown: Hawaii,,,,,,Shakedown: Hawaii,,,,,
F1 2020,PC,09/07/2020,NA,Codemasters,Codemasters,F1,Racing,,,,F1 2020,F1 2020,,,F1 2020,,,,,,,,
Catherine: Full Body,Nintendo Switch,07/07/2020,NA,Atlus,Atlus,Catherine,Puzzle Platformer,,,,Catherine: Full Body,Catherine: Full Body (Digital Deluxe Edition),,,Catherine: Full Body,,,Catherine: Full Body,,Catherine: Full Body,,,
RITE,PC,06/07/2020,NA,Pond Games Pty Ltd,Pond Games Pty Ltd,,Side-Scrolling Platformer,,,,,,,,Rite,,,,,,,,
Marvel's Iron Man VR,PlayStation 4,03/07/2020,NA,Sony Interactive Entertainment,Camouflaj,Iron Man,First-Person Shooter,,,,Marvel's Iron Man VR,,,,Marvel's Iron Man VR,,,Marvel's Iron Man VR,,,,,
The Legend of Heroes: Trails of Cold Steel III,Nintendo Switch,30/06/2020,NA,NIS America,Nihon Falcom,The Legend of Heroes,Turn-Based RPG,,,,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III,,,The Legend of Heroes: Trails of Cold Steel III,,,,,,,,
"Yes, Your Grace",Nintendo Switch,26/06/2020,EU,No More Robots,Brave at Night,,Strategy,,,,"Yes, Your Grace","Yes, Your Grace",,,"Yes, Your Grace",,,"Yes, Your Grace",,,,,
Brigandine: The Legend of Runersia,Nintendo Switch,25/06/2020,NA,Happinet,Matrix Software,Brigandine,Strategy RPG,,,,Brigandine: The Legend of Runersia,Brigandine: The Legend of Runersia,,,Brigandine: The Legend of Runersia,,,Brigandine: The Legend of Runersia,,,,,
Collar × Malice,Nintendo Switch,25/06/2020,NA,Aksys Games,Idea Factory,Collar × Malice,Visual Novel,,,,,Collar × Malice,,,,,,Collar X Malice,,,,,
Mr. Driller: Drill Land,Nintendo Switch,25/06/2020,NA,Bandai Namco Entertainment,Infinity,Mr. Driller,Puzzle Action,,,,Mr. Driller: Drill Land,Mr. Driller: Drill Land,,,,,,,,,,,
The Almost Gone,PC,25/06/2020,NA,Playdigious,Happy Volcano,,Adventure,,,,The Almost Gone,The Almost Gone,,,The Almost Gone,,,,,,,,
Mini Motor Racing X,PC,23/06/2020,NA,Nextgen Reality,The Binary Mill,Mini Motor Racing,Racing,,,,,Mini Motor Racing X,,,Mini Motor Racing X,,,,,Mini Motor Racing X,,,
Hylics 2,PC,22/06/2020,NA,Mason Lindroth,Mason Lindroth,Hylics,Turn-Based RPG,,,,,Hylics 2,,,Hylics 2,,,,,,,,
Azure Striker Gunvolt 2,PC,21/06/2020,NA,Inti Creates,Inti Creates,Gunvolt,Action Platformer,,,,,Azure Striker Gunvolt 2,,,Azure Striker Gunvolt 2,,,,,,,,
Fatum Betula,PC,20/06/2020,NA,Bryce Bucher,Bryce Bucher,,Adventure,,,,,Fatum Betula,,,Fatum Betula,,,,,,,,
Project Starship X,PC,18/06/2020,NA,Panda Indie Studio,Panda Indie Studio,Project Starship,Scrolling Shooter,,,,,,,,Project Starship X,,,,,Project Starship X,,,
West of Dead,PC,18/06/2020,NA,Raw Fury,Upstream Arcade,,Twin-Stick Shooter,,,,West of Dead,West of Dead,,,West of Dead,,,,,,,,
Data East Collection 1,Evercade,18/06/2020,NA,Evercade,Data East,Data East,Compilation,,,,,,,,,,,,,,,,
Across the Grooves,PC,17/06/2020,NA,Nova-box,Nova-box,,Visual Novel,,,,,Across the Grooves,,,Across The Grooves,,,,,,,,Across the Grooves
Colt Canyon,PC,16/06/2020,NA,Headup,Retrific,,Roguelike,,,,,Colt Canyon,,,Colt Canyon,,,,,Colt Canyon,,,
Desperados III,PC,16/06/2020,NA,THQ Nordic,Mimimi Games,Desperados,Real-Time Tactics,,,,Desperados III,Desperados III,,,Desperados III,,,,,,,,
Summer in Mara,PC,16/06/2020,NA,Chibig,Chibig,Mara,Simulation,,,,Summer in Mara,Summer in Mara,,,Summer in Mara,,,,,,,,
Lithium City,PC,15/06/2020,NA,Nico Tuason,Nico Tuason,,Twin-Stick Shooter,,,,,Lithium City,,,Lithium City,,,,,,,,
Persona 4 Golden,PC,13/06/2020,NA,Sega,Atlus,Megami Tensei,Turn-Based RPG,,,,Persona 4 Golden,Persona 4 Golden,,,,,Persona 4 Golden,,,,,,
Warborn,Nintendo Switch,12/06/2020,NA,PQube,Raredrop Games,,Strategy RPG,,,,Warborn,Warborn,,,,,,,,,,,
Beyond Blue,PC,11/06/2020,NA,E-Line Media,E-Line Media,,Action Adventure,,,,Beyond Blue,Beyond Blue,,,Beyond Blue,,,,,,,,
Evan's Remains,PC,11/06/2020,NA,Whitethorn Games,maitan69 (Matías Schmied),,Puzzle Platformer,,,,Evan's Remains,Evan's Remains,,,Evan's Remains,,,,,,,,
Lizzi Crossing,PC,07/06/2020,NA,Eva Lee,Eva Lee,,Puzzle,,,,,,,,Lizzi Crossing,,,,,,,,
shapez,PC,07/06/2020,NA,Doyoyo Games,Tobias Springer,,Puzzle,,,,,shapez.io,,,shapez.io,,,,,,,,
Mini Ghost,PC,06/06/2020,NA,franfistro,franfistro,Ghost 1.0,Metroidvania,,,,,Mini Ghost,,,Mini Ghost,,,,,,,,
Clubhouse Games: 51 Worldwide Classics,Nintendo Switch,05/06/2020,NA,Nintendo,NDcube,Clubhouse Games,Minigame Collection,,,,Clubhouse Games: 51 Worldwide Classics,Clubhouse Games: 51 Worldwide Classics,,,Clubhouse Games: 51 Worldwide Classics,,Clubhouse Games: 51 Worldwide Classics,Clubhouse Games: 51 Worldwide Classics,,,,,
BioShock: The Collection,Nintendo Switch,29/05/2020,NA,2K Games,Blind Squirrel Games,BioShock,First-Person Shooter,,,,BioShock: The Collection,BioShock: The Collection,,,BioShock: The Collection,,,Bioshock: The Collection,,,,,
Shantae and the Seven Sirens,Nintendo Switch,28/05/2020,NA,WayForward Technologies,WayForward Technologies,Shantae,Metroidvania,,,,Shantae and the Seven Sirens,Shantae and the Seven Sirens,,,,,,Shantae and the Seven Sirens,,,,,
Those Who Remain,PC,28/05/2020,NA,Wired Productions,Camel 101,,Survival Horror,,,,Those Who Remain,Those Who Remain,,,Those Who Remain,,,,,,,,
Umihara Kawase BaZooKa!,PC,28/05/2020,NA,Success,Studio Saizensen,Umihara Kawase,Fighting,,,,,Umihara Kawase BaZooKa!,,,Umihara Kawase BaZooKa!,,,,,,,,
Dépanneur Nocturne,PC,26/05/2020,NA,KO_OP,KO_OP,,Adventure,,,,,Dépanneur Nocturne,,,Depanneur Nocturne,,,,,,,,
Wildfire,PC,25/05/2020,NA,Humble Games,Sneaky Bastards,,Puzzle Platformer,,,,Wildfire (2020),Wildfire,,,Wildfire,,,,,Wildfire,,,
Inexistence Rebirth,PC,22/05/2020,NA,Jonathan Brassaud,Jonathan Brassaud,Inexistence,Metroidvania,,,,,Inexistence Rebirth,,,Inexistence Rebirth,,,,,,,,
Maneater,PlayStation 4,22/05/2020,NA,Deep Silver,Tripwire Interactive,,Action RPG,,,,Maneater,Maneater,,,,,,Maneater,,,,,
Monster Train,PC,21/05/2020,NA,Good Shepherd Entertainment,Shiny Shoe,,Roguelike,,,,Monster Train,Monster Train,,,Monster Train,,,,,,,,
Neversong,PC,20/05/2020,NA,Serenity Forge,Atmos Games,,Adventure,,,,Neversong,Neversong,,,Neversong,,,,,,,,
Timelie,PC,20/05/2020,NA,Milk Bottle Studio,Urnique Studio,,Puzzle,,,,Timelie,Timelie,,,Timelie,,,,,,,,
The Wonderful 101: Remastered,Nintendo Switch,19/05/2020,NA,PlatinumGames,PlatinumGames,The Wonderful 101,Hack-and-Slash,,,,The Wonderful 101: Remastered,,,,The Wonderful 101: Remastered,,,,,The Wonderful 101: Remastered,,,
The Wonderful 101: Remastered,PC,19/05/2020,NA,PlatinumGames,PlatinumGames,The Wonderful 101,Hack-and-Slash,,,,The Wonderful 101: Remastered,,,,The Wonderful 101: Remastered,,,,,The Wonderful 101: Remastered,,,
Umurangi Generation,PC,19/05/2020,NA,Playism,Origame Digital,,Action Adventure,,,,Umurangi Generation,Umurangi Generation,,,,,,,,,,,
Chex Quest HD,PC,18/05/2020,NA,General Mills,Team Chex Quest HD,Chex Quest,First-Person Shooter,,,,,Chex Quest HD,,,Chex Quest HD,,,,,Chex Quest HD,,,
Tales from Off-Peak City Vol. 1,PC,15/05/2020,NA,Cosmo D Studios,Cosmo D Studios,Off-Peak,Adventure,,,,Tales From Off-Peak City Vol. 1,Tales From Off-Peak City Vol. 1,,,Tales From Off-Peak City Vol. 1,,,,,,,,
Ion Fury,Nintendo Switch,14/05/2020,NA,3D Realms,Voidpoint,,First-Person Shooter,,,,Ion Fury,Ion Fury,,,Ion Fury,,,Ion Fury,,,,,
Signs of the Sojourner,PC,14/05/2020,NA,Echodog Games,Echodog Games,,Card Game,,,,Signs of the Sojourner,Signs of the Sojourner,,,Signs of the Sojourner,,,,,,,,
VirtuaVerse,PC,12/05/2020,NA,Blood Music,Theta Division,,Adventure,,,,VirtuaVerse,VirtuaVerse,,,VirtuaVerse,,,,,,,,
Wintermoor Tactics Club,PC,05/05/2020,NA,Versus Evil,EVC Games,,Strategy RPG,,,,Wintermoor Tactics Club,Wintermoor Tactics Club,,,Wintermoor Tactics Club,,,,,,,,
Fateful Lore,Android,01/05/2020,NA,Stonehollow Workshop,Stonehollow Workshop,Aidinia,Turn-Based RPG,,,,,,,,,,,,,,,,
Rainy Season,PC,01/05/2020,NA,Inasa Fujio,Inasa Fujio,,Adventure,,,,,Rainy Season,,,Rainy Season,,,,,,,,
Them's Fightin' Herds,PC,30/04/2020,NA,Modus Games,Mane6,,Fighting,,,,,Them's Fightin' Herds,,,,,,,,,,,
Samsara Room,PC,29/04/2020,NA,Rusty Lake,Rusty Lake,Rusty Lake,Puzzle,,,,,Samsara Room,,,Samsara Room,,,,,,,,
Moving Out,PC,28/04/2020,NA,Team17,SMG Studio,Moving Out,Puzzle Action,,,,Moving Out,,,,Moving Out,,,,,Moving Out,,,
Picross S4,Nintendo Switch,23/04/2020,NA,Jupiter,Jupiter,Picross,Puzzle,,,,Picross S 4,Picross S4,,,Picross S4,,,,,PICROSS S4,,,
Yumeutsutsu: Re:Master & Re:After,Nintendo Switch,23/04/2020,NA,Degica,Kogado Studio,Yumeutsutsu,Visual Novel,,,,,,,,,,,Yumeutsutsu Re:Master & Re:After,,,,,
Filament,PC,23/04/2020,NA,Kasedo Games,Beard Envy,,Puzzle,,,,Filament,Filament,,,Filament,,,,,,,,
Iratus: Lord of the Dead,PC,23/04/2020,NA,Daedalic Entertainment,Unfrozen,,Roguelike,,,,Iratus: Lord of the Dead,Iratus: Lord of the Dead,,,Iratus: Lord of the Dead,,,,,,,,
TROUBLESHOOTER: Abandoned Children,PC,23/04/2020,NA,Dandylion,Dandylion,,Strategy RPG,,,,,,,,Troubleshooter: Abandoned Children,,,,,,,,
The Fox Awaits Me,Nintendo Switch,16/04/2020,JP,Cosen,Cosen,The Fox Awaits Me,Visual Novel,,,,,The Fox Awaits Me,,,The Fox Awaits Me,,,,,,,,Dangsin-eul Gidarineun Yeou
Piczle Cross Adventure,PC,16/04/2020,NA,Plug In Digital,Score Studios,Piczle,Puzzle,,,,,Piczle Cross Adventure,,,Piczle Cross Adventure,,,,,,,,
Gun Rounds,PC,11/04/2020,NA,blabberf,blabberf,,Turn-Based RPG,,,,,,,,Gun Rounds,,,,,,,,
Sludge Life,PC,08/04/2020,NA,Devolver Digital,Terri Vellmann & Doseone,Sludge Life,Action Adventure,,,,Sludge Life,Sludge Life,,,Sludge Life,,,,,,,,
In Other Waters,PC,03/04/2020,NA,Fellow Traveller,Jump Over the Age,,Adventure,,,,In Other Waters,In Other Waters,,,In Other Waters,,,,,,,,
Self.destroy(),PC,02/04/2020,NA,Maxine Red,Maxine Red,,Roguelike,,,,,,,,,,,,,,,,
Xenogunner,PC,01/04/2020,NA,Clickteam,Happy Frog Games,,Run and Gun,,,,,Xenogunner,,,,,,,,,,,
Cooking Mama: Cookstar,Nintendo Switch,31/03/2020,NA,Planet Entertainment,1st Playable Productions,Cooking Mama,Simulation,,,,Cooking Mama: Cookstar,Cooking Mama: Cookstar,,,Cooking Mama: Cookstar,,,Cooking Mama: Cookstar,,,,,
The Complex,PC,31/03/2020,NA,Wales Interactive,Wales Interactive,,FMV,,,,The Complex,The Complex,,,The Complex,,,,,,,,
Treachery in Beatdown City,PC,30/03/2020,NA,Nuchallenger,HurakanWorks,Treachery in Beatdown City,Action RPG,,,,Treachery in Beatdown City,Treachery in Beatdown City,,,,,,,,,,,
Ardubullets,Arduboy,28/03/2020,NA,obono,obono,,Scrolling Shooter,,,,,,,,,,,,,,,,
One Piece: Pirate Warriors 4,Nintendo Switch,27/03/2020,NA,Bandai Namco Entertainment,Omega Force,One Piece,Hack-and-Slash,,,,One Piece: Pirate Warriors 4,One Piece: Pirate Warriors 4,,,,,,,,One Piece: Pirate Warriors 4,,,
Saints Row IV: Re-Elected,Nintendo Switch,27/03/2020,NA,Deep Silver,Volition,Saints Row,Third-Person Shooter,,,,Saints Row IV: Re-Elected,,,,Saints Row IV: Re-Elected,,,,,Saints Row IV,,,
A-Tech Cybernetic VR,PC,27/03/2020,NA,XREAL Games,XREAL Games,,First-Person Shooter,,,,,A-Tech Cybernetic VR,,,A-Tech Cybernetic VR,,,,,,,,
Oneiros,PC,27/03/2020,NA,Coal Valley Games,Coal Valley Games,,Adventure,,,,,Oneiros,,,Oneiros,,,,,,,,
Down the Rabbit Hole,PC,26/03/2020,NA,Cortopia Studios,Cortopia Studios,,Adventure,,,,Down the Rabbit Hole,Down the Rabbit Hole,,,Down The Rabbit Hole,,,,,,,,down the rabbit hole
One Step From Eden,PC,26/03/2020,NA,Humble Games,Thomas Moon Kang,,Strategy RPG,,,,One Step From Eden,One Step from Eden,,,One Step From Eden,,,,,One Step From Eden,,,
Iron Danger,PC,25/03/2020,NA,Daedalic Entertainment,Action Squad Studios,,Action RPG,,,,Iron Danger,Iron Danger,,,Iron Danger,,,,,,,,
Paper Beast,PlayStation 4,24/03/2020,NA,Pixel Reef,Pixel Reef,,Adventure,,,,Paper Beast,Paper Beast,,,Paper Beast,,,,,,,,
Doom 64,PC,20/03/2020,NA,Bethesda Softworks,Nightdive Studios,Doom,First-Person Shooter,,,,,Doom 64,,,,,,,,,,,
Stocksynd House,PC,20/03/2020,NA,Rate My Funeral,CyberFlux Games,,Survival Horror,,,,,Stocksynd House,,,,,,,,,,,
La-Mulana 1 & 2: Hidden Treasures Edition,Nintendo Switch,17/03/2020,NA,NIS America,Nigoro,La-Mulana,Metroidvania,,,,La-Mulana 1 & 2: Hidden Treasures Edition,,,,,,,La-Mulana 1 & 2: Hidden Treasures Edition,,,,,
